EDI_STD_Nomenclature,The shape designation according to the AISC Naming Convention for Structural Steel Products for Use in Electronic Data Interchange (EDI)- June 25- 2001. This information is intended solely for the use of software developers to facilitate the electronic labeling of shape-specific data and electronic transfer of that data.
AISC_Manual_Label,The shape designation as seen in the AISC Steel Construction Manual- 15th Edition.  The exception to this is the designation for double angles. There is a separate listing (row) for each back-to-back spacing and configuration. Therefore- the shape designation reflects these two variables. The listings for double angles follow the convention specified in the AISC Naming Convention for Structural Steel Products for Use in Electronic Data Interchange (EDI)- June 25- 2001.
T_F,Special notes -- W-shapes- a value of T for- tf > 2 in. or M-shapes- a value of T indicates that the shape has sloped flanges. or WT-shapes- a value of T for- tf > 2 in or MT-shapes- a value of T indicates that the shape has sloped flanges.  
W,Nominal weight- lb/ft (kg/m)
A,Cross-sectional area- in<sup>2</sup> (mm<sup>2</sup>)
d,Overall depth of member- or width of shorter leg for angles- or width of the outstanding legs of long legs back-to-back double angles- or the width of the back-to-back legs of short legs back-to-back double angles- in (mm)
ddet,Detailing value of member depth- in (mm)
Ht,Overall depth of square or rectangular HSS- in (mm)
h,Depth of the flat wall of square or rectangular HSS- in (mm)
OD,Outside diameter of round HSS or pipe- in (mm)
bf,Flange width- in (mm)
bfdet,Detailing value of flange width- in (mm)
B,Overall width of square or rectangular HSS- in (mm)
b,Width of the flat wall of square or rectangular HSS- or width of the longer leg for angles- or width of the back-to-back legs of long legs back-to-back double angles- or width of the outstanding legs of short legs back-to-back double angles- in (mm)
ID,Inside diameter of round HSS or pipe- in (mm)
tw,Web thickness- in (mm)
twdet,Detailing value of web thickness- in (mm)
twdet/2,Detailing value of t<sub>w</sub>/2 - in (mm)
tf,Flange thickness- in (mm)
tfdet,Detailing value of flange thickness- in (mm)
t,Thickness of angle leg- in (mm)
tnom,HSS and pipe nominal wall thickness- in (mm)
tdes,HSS and pipe design wall thickness- in (mm)
kdes,Design distance from outer face of flange to web toe of fillet- in (mm)
kdet,Detailing distance from outer face of flange to web toe of fillet- in (mm)
k1,Detailing distance from center of web to flange toe of fillet- in (mm)
