Species,Grade,Size Classification,Fb_psi,Ft_psi,Fv_psi,Fcp_psi,Fc_psi,E_psi,Emin_psi,G,Agency,Bmin,Bmax,Dmin,Dmax
Southern Pine,Dense Select Structural,"2"" - 4"" wide",2700,1900,175,660,2050,1900000,690000,0.55,SPIB,2,4,2,4
Southern Pine,Select Structural,"2"" - 4"" wide",2350,1650,175,565,1900,1800000,660000,0.55,SPIB,2,4,2,4
Southern Pine,Non-Dense Select Structural,"2"" - 4"" wide",2050,1450,175,480,1800,1600000,580000,0.55,SPIB,2,4,2,4
Southern Pine,No. 1 Dense,"2"" - 4"" wide",1650,1100,175,660,1750,1800000,660000,0.55,SPIB,2,4,2,4
Southern Pine,No. 1,"2"" - 4"" wide",1500,1000,175,565,1650,1600000,580000,0.55,SPIB,2,4,2,4
Southern Pine,No. 1 Non-Dense,"2"" - 4"" wide",1300,875,175,480,1550,1400000,510000,0.55,SPIB,2,4,2,4
Southern Pine,No. 2 Dense,"2"" - 4"" wide",1200,750,175,660,1500,1600000,580000,0.55,SPIB,2,4,2,4
Southern Pine,No. 2,"2"" - 4"" wide",1100,675,175,565,1450,1400000,510000,0.55,SPIB,2,4,2,4
Southern Pine,No. 2 Non-Dense,"2"" - 4"" wide",1050,600,175,480,1450,1300000,470000,0.55,SPIB,2,4,2,4
Southern Pine,No. 3,"2"" - 4"" wide",650,400,175,565,850,1300000,470000,0.55,SPIB,2,4,2,4
Southern Pine,Stud,"2"" - 4"" wide",650,400,175,565,850,1300000,470000,0.55,SPIB,2,4,2,4
Southern Pine,Construction,"4"" wide",875,500,175,565,1600,1400000,510000,0.55,SPIB,2,4,4,4
Southern Pine,Standard,"4"" wide",475,275,175,565,1300,1200000,440000,0.55,SPIB,2,4,4,4
Southern Pine,Utility,"4"" wide",225,125,175,565,850,1200000,440000,0.55,SPIB,2,4,4,4
Southern Pine,Dense Select Structural,"5""-6"" wide",2400,1650,175,660,1900,1900000,690000,0.55,SPIB,2,4,5,6
Southern Pine,Select Structural,"5""-6"" wide",2100,1450,175,565,1800,1800000,660000,0.55,SPIB,2,4,5,6
Southern Pine,Non-Dense Select Structural,"5""-6"" wide",1850,1300,175,480,1700,1600000,580000,0.55,SPIB,2,4,5,6
Southern Pine,No. 1 Dense,"5""-6"" wide",1500,1000,175,660,1650,1800000,660000,0.55,SPIB,2,4,5,6
Southern Pine,No. 1,"5""-6"" wide",1350,875,175,565,1550,1600000,580000,0.55,SPIB,2,4,5,6
Southern Pine,No. 1 Non-Dense,"5""-6"" wide",1200,775,175,480,1450,1400000,510000,0.55,SPIB,2,4,5,6
Southern Pine,No. 2 Dense,"5""-6"" wide",1050,650,175,660,1450,1600000,580000,0.55,SPIB,2,4,5,6
Southern Pine,No. 2,"5""-6"" wide",1000,600,175,565,1400,1400000,510000,0.55,SPIB,2,4,5,6
Southern Pine,No. 2 Non-Dense,"5""-6"" wide",950,525,175,480,1350,1300000,470000,0.55,SPIB,2,4,5,6
Southern Pine,No. 3,"5""-6"" wide",575,350,175,565,800,1300000,470000,0.55,SPIB,2,4,5,6
Southern Pine,Stud,"5""-6"" wide",575,350,175,565,800,1300000,470000,0.55,SPIB,2,4,5,6
Southern Pine,Dense Select Structural,"8"" wide",2200,1550,175,660,1850,1900000,690000,0.55,SPIB,2,4,8,8
Southern Pine,Select Structural,"8"" wide",1950,1350,175,565,1700,1800000,660000,0.55,SPIB,2,4,8,8
Southern Pine,Non-Dense Select Structural,"8"" wide",1700,1200,175,480,1650,1600000,580000,0.55,SPIB,2,4,8,8
Southern Pine,No. 1 Dense,"8"" wide",1350,900,175,660,1600,1800000,660000,0.55,SPIB,2,4,8,8
Southern Pine,No. 1,"8"" wide",1250,800,175,565,1500,1600000,580000,0.55,SPIB,2,4,8,8
Southern Pine,No. 1 Non-Dense,"8"" wide",1100,700,175,480,1400,1400000,510000,0.55,SPIB,2,4,8,8
Southern Pine,No. 2 Dense,"8"" wide",975,600,175,660,1400,1600000,580000,0.55,SPIB,2,4,8,8
Southern Pine,No. 2,"8"" wide",925,550,175,565,1350,1400000,510000,0.55,SPIB,2,4,8,8
Southern Pine,No. 2 Non-Dense,"8"" wide",875,500,175,480,1300,1300000,470000,0.55,SPIB,2,4,8,8
Southern Pine,No. 3,"8"" wide",525,325,175,565,775,1300000,470000,0.55,SPIB,2,4,8,8
Southern Pine,Stud,"8"" wide",525,325,175,565,775,1300000,470000,0.55,SPIB,2,4,8,8
Southern Pine,Dense Select Structural,"10"" wide",1950,1300,175,660,1800,1900000,690000,0.55,SPIB,2,4,10,10
Southern Pine,Select Structural,"10"" wide",1700,1150,175,565,1650,1800000,660000,0.55,SPIB,2,4,10,10
Southern Pine,Non-Dense Select Structural,"10"" wide",1500,1050,175,480,1600,1600000,580000,0.55,SPIB,2,4,10,10
Southern Pine,No. 1 Dense,"10"" wide",1200,800,175,660,1550,1800000,660000,0.55,SPIB,2,4,10,10
Southern Pine,No. 1,"10"" wide",1050,700,175,565,1450,1600000,580000,0.55,SPIB,2,4,10,10
Southern Pine,No. 1 Non-Dense,"10"" wide",950,625,175,480,1400,1400000,510000,0.55,SPIB,2,4,10,10
Southern Pine,No. 2 Dense,"10"" wide",850,525,175,660,1350,1600000,580000,0.55,SPIB,2,4,10,10
Southern Pine,No. 2,"10"" wide",800,475,175,565,1300,1400000,510000,0.55,SPIB,2,4,10,10
Southern Pine,No. 2 Non-Dense,"10"" wide",750,425,175,480,1250,1300000,470000,0.55,SPIB,2,4,10,10
Southern Pine,No. 3,"10"" wide",475,275,175,565,750,1300000,470000,0.55,SPIB,2,4,10,10
Southern Pine,Stud,"10"" wide",475,275,175,565,750,1300000,470000,0.55,SPIB,2,4,10,10
Southern Pine,Dense Select Structural,"12"" wide",1800,1250,175,660,1750,1900000,690000,0.55,SPIB,2,4,12,100
Southern Pine,Select Structural,"12"" wide",1600,1100,175,565,1650,1800000,660000,0.55,SPIB,2,4,12,100
Southern Pine,Non-Dense Select Structural,"12"" wide",1400,975,175,480,1550,1600000,580000,0.55,SPIB,2,4,12,100
Southern Pine,No. 1 Dense,"12"" wide",1100,750,175,660,1500,1800000,660000,0.55,SPIB,2,4,12,100
Southern Pine,No. 1,"12"" wide",1000,650,175,565,1400,1600000,580000,0.55,SPIB,2,4,12,100
Southern Pine,No. 1 Non-Dense,"12"" wide",900,575,175,480,1350,1400000,510000,0.55,SPIB,2,4,12,100
Southern Pine,No. 2 Dense,"12"" wide",800,500,175,660,1300,1600000,580000,0.55,SPIB,2,4,12,100
Southern Pine,No. 2,"12"" wide",750,450,175,565,1250,1400000,510000,0.55,SPIB,2,4,12,100
Southern Pine,No. 2 Non-Dense,"12"" wide",700,400,175,480,1250,1300000,470000,0.55,SPIB,2,4,12,100
Southern Pine,No. 3,"12"" wide",450,250,175,565,725,1300000,470000,0.55,SPIB,2,4,12,100
Southern Pine,Stud,"12"" wide",450,250,175,565,725,1300000,470000,0.55,SPIB,2,4,12,100
Southern Pine - Surfaced Dry,Dense Structural 86,"2"" & wider",2600,1750,175,660,2000,1800000,660000,0.55,SPIB,2,4,2,100
Southern Pine - Surfaced Dry,Dense Structural 72,"2"" & wider",2200,1450,175,660,1650,1800000,660000,0.55,SPIB,2,4,2,100
Southern Pine - Surfaced Dry,Desne Structural 65,"2"" & wider",2000,1300,175,660,1500,1800000,660000,0.55,SPIB,2,4,2,100
Southern Pine - Surfaced Green,Dense Structural 86,"2-1/2"" & wider",2100,1400,165,440,1300,1600000,580000,0.55,SPIB,2,4,2.5,100
Southern Pine - Surfaced Green,Dense Structural 72,"2-1/2"" & wider",1750,1200,165,440,1100,1600000,580000,0.55,SPIB,2,4,2.5,100
Southern Pine - Surfaced Green,Desne Structural 65,"2-1/2"" & wider",1600,1050,165,440,1000,1600000,580000,0.55,SPIB,2,4,2.5,100
Mixed Southern Pine,Select Structural,"2"" - 4"" wide",2050,1200,175,565,1800,1600000,580000,0.51,SPIB,2,4,2,4
Mixed Southern Pine,No. 1,"2"" - 4"" wide",1450,875,175,565,1650,1500000,550000,0.51,SPIB,2,4,2,4
Mixed Southern Pine,No. 2,"2"" - 4"" wide",1100,675,175,565,1450,1400000,510000,0.51,SPIB,2,4,2,4
Mixed Southern Pine,No. 3,"2"" - 4"" wide",650,400,175,565,850,1200000,440000,0.51,SPIB,2,4,2,4
Mixed Southern Pine,Stud,"2"" - 4"" wide",650,400,175,565,850,1200000,440000,0.51,SPIB,2,4,2,4
Mixed Southern Pine,Construction,"4"" wide",850,500,175,565,1600,1300000,470000,0.51,SPIB,2,4,4,4
Mixed Southern Pine,Standard,"4"" wide",475,275,175,565,1300,1200000,440000,0.51,SPIB,2,4,4,4
Mixed Southern Pine,Utility,"4"" wide",225,125,175,565,850,1100000,400000,0.51,SPIB,2,4,4,4
Mixed Southern Pine,Select Structural,"5""-6"" wide",1850,1100,175,565,1700,1600000,580000,0.51,SPIB,2,4,5,6
Mixed Southern Pine,No. 1,"5""-6"" wide",1300,750,175,565,1550,1500000,550000,0.51,SPIB,2,4,5,6
Mixed Southern Pine,No. 2,"5""-6"" wide",1000,600,175,565,1400,1400000,510000,0.51,SPIB,2,4,5,6
Mixed Southern Pine,No. 3,"5""-6"" wide",575,350,175,565,775,1200000,440000,0.51,SPIB,2,4,5,6
Mixed Southern Pine,Stud,"5""-6"" wide",575,350,175,565,775,1200000,440000,0.51,SPIB,2,4,5,6
Mixed Southern Pine,Select Structural,"8"" wide",1750,1000,175,565,1600,1600000,580000,0.51,SPIB,2,4,8,8
Mixed Southern Pine,No. 1,"8"" wide",1200,700,175,565,1450,1500000,550000,0.51,SPIB,2,4,8,8
Mixed Southern Pine,No. 2,"8"" wide",925,550,175,565,1350,1400000,510000,0.51,SPIB,2,4,8,8
Mixed Southern Pine,No. 3,"8"" wide",525,325,175,565,800,1200000,440000,0.51,SPIB,2,4,8,8
Mixed Southern Pine,Stud,"8"" wide",525,325,175,565,800,1200000,440000,0.51,SPIB,2,4,8,8
Mixed Southern Pine,Select Structural,"10"" wide",1500,875,175,565,1600,1600000,580000,0.51,SPIB,2,4,10,10
Mixed Southern Pine,No. 1,"10"" wide",1050,600,175,565,1450,1500000,550000,0.51,SPIB,2,4,10,10
Mixed Southern Pine,No. 2,"10"" wide",800,475,175,565,1300,1400000,510000,0.51,SPIB,2,4,10,10
Mixed Southern Pine,No. 3,"10"" wide",475,275,175,565,750,1200000,440000,0.51,SPIB,2,4,10,10
